rev_id,perc_labelled_attack,n_labelled_attack,n_labels,predictor_prob
155243,0.222222222,2,9,0.037257579
177310,0,0,10,0.071661601
286174,0,0,9,0.003800673
317177,0,0,9,0.016146502
386473,0,0,20,0.010528596
421948,0,0,10,0.017881355
593977,0,0,10,0.009512174
622095,0.3,6,20,0.009617785
916927,0.052631579,1,19,0.007218169
923974,0,0,20,0.021686575
966578,0,0,20,0.01182166
968361,0,0,10,0.026550495
999587,0,0,20,0.007373452
1028038,0,0,10,0.012792552
1078251,0,0,20,0.006975504
1106855,0,0,20,0.003614637
1185345,0.05,1,20,0.017791992
1220372,0,0,10,0.150470951
1221055,0.222222222,2,9,0.010991871
1287308,0,0,19,0.011126608
1319467,0.4,8,20,0.127555472
1353904,0,0,9,0.012560929
1445262,0.2,2,10,0.100322676
1514095,0.058823529,1,17,0.024007376
1524672,0,0,20,0.008313739
1602567,0,0,20,0.044059279
1607151,0,0,19,0.003929421
1710587,0.25,5,20,0.022116093
1870012,0,0,19,0.0078348
1929392,0,0,20,0.120151697
2200466,0.2,4,20,0.040449472
2337410,0.1,1,10,0.010503986
2372659,0,0,20,0.025324353
2600857,0,0,10,0.033099404
2655107,0,0,20,0.007529347
2727211,0.1,2,20,0.063262732
2822026,0.1,1,10,0.062747842
2912786,0,0,20,0.101823647
2930834,0.05,1,20,0.0100878
2936710,0,0,10,0.042633514
2991403,0.05,1,20,0.015762408
3136117,0,0,10,0.02057726
3148037,0.3,6,20,0.024518075
3156619,0.111111111,2,18,0.022934208
3336806,0,0,20,0.013996365
3367698,0,0,10,0.027356983
3525676,0.125,1,8,0.029079296
3592470,0.055555556,1,18,0.022141461
3604478,0,0,10,0.011972183
3720681,0.1,2,20,0.031387195
3805237,0,0,20,0.002886382
3881562,0,0,8,0.016779416
3912879,0,0,20,0.035387869
3925539,0.1,2,20,0.031528104
4046281,0,0,10,0.028346057
4079607,0,0,20,0.010155424
4110732,0,0,20,0.001814906
4126589,0.111111111,2,18,0.004639086
4132387,0.052631579,1,19,0.040529267
4149561,0,0,20,0.005705505
4171527,0,0,20,0.024376537
4220627,0,0,20,0.024221015
4316076,0,0,10,0.019934837
4322944,0.1,2,20,0.081493878
4340600,0,0,20,0.021193516
4359172,0,0,20,0.01149081
4374930,0,0,20,0.015668123
4403353,0,0,9,0.013502201
4475822,0,0,20,0.009439686
4480909,0.05,1,20,0.072885963
4572513,0,0,20,0.086007565
4619883,0.333333333,3,9,0.011636315
4649929,0,0,10,0.006215772
4704558,0,0,9,0.020063332
4741245,0,0,20,0.035532105
4855563,0,0,10,0.038695205
4886834,0,0,10,0.013252238
4898172,0.1,1,10,0.016649355
5130102,0,0,9,0.015427189
5155889,0,0,9,0.009693485
5252559,0.1,1,10,0.031243164
5282448,0,0,9,0.012261775
5359351,0,0,19,0.030781463
5414702,0.1,2,20,0.05814202
5487674,0,0,9,0.055334104
5567514,0,0,20,0.011094066
5571217,0.052631579,1,19,0.033605027
5598366,0,0,10,0.008405012
5603627,0.315789474,6,19,0.032564023
5619479,0.052631579,1,19,0.011826677
5636675,0,0,20,0.044943091
5669261,0,0,10,0.004955121
5688244,0,0,9,0.010214151
5767620,0,0,10,0.003846458
5937488,0,0,20,0.022267707
6137699,0,0,19,0.031369288
6227228,0.05,1,20,0.018775519
6274346,0,0,20,0.00694043
6281905,0,0,20,0.010401615
6316853,0,0,10,0.079054959
6319106,0,0,20,0.02940118
6332701,0,0,17,0.018959078
6545351,0.7,7,10,0.737394794
6593650,0,0,8,0.003837349
6601117,0,0,10,0.025392715
6683326,0.1,1,10,0.02621764
6689996,0,0,18,0.043192805
7068957,0,0,20,0.008386048
7164742,0,0,9,0.025394041
7174456,0,0,9,0.015524167
7566015,0,0,20,0.084300382
7588842,0.05,1,20,0.097775806
7629536,0,0,19,0.014388544
7800123,0,0,9,0.002413758
7810553,0,0,20,0.014539358
7838300,0.1,2,20,0.05728705
7874468,0,0,20,0.001908273
7914310,0.05,1,20,0.00419575
7977508,0,0,20,0.010629614
8012518,0,0,20,0.025256174
8053756,0.05,1,20,0.066437204
8132353,0,0,20,0.032553084
8249017,0,0,20,0.009007966
8310821,0,0,10,0.027125892
8323109,0.222222222,2,9,0.127569529
8347684,0.222222222,2,9,0.048616078
8356071,0.25,2,8,0.436092764
8375796,0.05,1,20,0.005036184
8500886,0,0,10,0.017900885
8501105,0,0,10,0.028884423
8631142,0,0,10,0.009509092
8644708,0.05,1,20,0.020585466
8652387,0,0,20,0.022264854
8724028,0.8,8,10,0.271191438
8724769,0.222222222,2,9,0.088877289
8726328,0.5,4,8,0.059090482
8771540,0,0,9,0.008888778
8809377,0.1,1,10,0.036170274
8845780,0.4,4,10,0.278679482
8875274,0.081081081,3,37,0.046344359
8876353,0.1,2,20,0.010434666
8889597,0,0,18,0.022867581
8894790,0.05,1,20,0.004639954
8898827,0.0625,1,16,0.033157364
8898892,0.333333333,3,9,0.03159228
8899112,0.466666667,14,30,0.041491207
8912714,0,0,20,0.008292118
8942766,0.1,1,10,0.252785528
8972653,0.275862069,8,29,0.041698585
8985800,0,0,20,0.008384056
9075310,0,0,20,0.003099631
9086510,0,0,20,0.013283422
9102140,0.05,1,20,0.008586352
9142673,0.1,2,20,0.007507354
9151537,0.266666667,8,30,0.033023759
9220314,0.05,1,20,0.062020527
9299458,0.1,1,10,0.009752023
9401490,0,0,23,0.125502382
9401961,0.3,3,10,0.031497237
9468254,0,0,20,0.068579725
9506062,0,0,20,0.022536014
9521749,0.1,1,10,0.034145401
9565024,0,0,20,0.015827938
9664254,1,9,9,0.815004496
9666832,0.1,1,10,0.039802654
9671636,0,0,20,0.008313115
9676905,0,0,20,0.009094258
9681754,0.1,1,10,0.07743401
9714891,0,0,10,0.021663757
9735893,0.333333333,9,27,0.060264474
9810672,0.1,1,10,0.074726451
9858487,0.2,2,10,0.088809634
9862374,0,0,20,0.018639619
9936104,0.15,3,20,0.089787215
9945486,0,0,10,0.03650559
10014426,0.2,4,20,0.064870615
10074898,0.2,2,10,0.016280042
10119786,0.111111111,1,9,0.157982193
10162306,0,0,10,0.015196631
10163144,0,0,9,0.025142809
10191128,0,0,9,0.020099914
10229169,0,0,9,0.035215581
10258619,0,0,10,0.052706952
10283381,0,0,20,0.010333133
10289255,0,0,9,0.036522349
10310099,0,0,9,0.028172185
10343777,0.25,2,8,0.086853982
10346963,0.444444444,4,9,0.051729296
10365624,0.333333333,3,9,0.266576392
10368143,0,0,27,0.028949573
10411449,0.1,1,10,0.003164532
10420364,0,0,17,0.015388683
10444014,0.1,1,10,0.026063475
10459019,0,0,10,0.020094508
10470096,0.185185185,5,27,0.08214927
10471642,0.2,2,10,0.02209885
10480561,0.111111111,1,9,0.007703183
10494131,0,0,10,0.028901458
10532150,0.366666667,11,30,0.034081256
10547576,0,0,10,0.017706017
10563063,0.4,4,10,0.398723288
10596606,0.3,3,10,0.077990755
