,calibrated hard classifier,h_infinity: ideal classifier
0,-0.8220344766017487,-0.7047591177585949
1,-0.8219187848665961,-0.7036085633435305
2,-0.8299833741141784,-0.701507159557536
3,-0.8447480619258879,-0.7198768921886596
4,-0.8239157115694331,-0.692111543937408
5,-0.8019086701535312,-0.7073665146766884
6,-0.831591193965091,-0.6934863530935523
7,-0.8233875269263438,-0.7142370869308929
8,-0.8188792345637423,-0.7024833791945977
9,-0.8246882528580072,-0.7048501759769616
10,-0.8321261404042387,-0.7268008070814879
11,-0.824700501846066,-0.7073195433631458
12,-0.8387541013623231,-0.7100486375138091
13,-0.836808032503488,-0.7271904874099452
14,-0.83971579403176,-0.7144243696774191
15,-0.8251013659266508,-0.7147872443039425
16,-0.8178285473694246,-0.7068670209991733
17,-0.8130350483787476,-0.7029759244360757
18,-0.8149404460468977,-0.6927969613205729
19,-0.8287740444512609,-0.703365399298904
20,-0.810902211708225,-0.6954110630116115
21,-0.8146695891577369,-0.7044177292925579
22,-0.8113917274281874,-0.7057401702575853
23,-0.8247931181948012,-0.6985167485919314
24,-0.8186920274499891,-0.7000682135658159
25,-0.8069403017789979,-0.6971999355140633
26,-0.8209464425239718,-0.696679469045599
27,-0.8248158946549451,-0.7066460736049123
28,-0.8248361750213966,-0.6959583358286745
29,-0.811850798436541,-0.7031053136898723
30,-0.80326514326865,-0.6804542400042803
31,-0.8039576621487858,-0.6922482788165248
32,-0.8411389028626115,-0.7229499900070303
33,-0.8130130743475972,-0.6906526119036236
34,-0.8131118323316835,-0.6926484198940702
35,-0.8316747215393958,-0.7210372793012116
36,-0.8354104084127695,-0.7014326388096018
37,-0.8245939973686414,-0.6931666303575454
38,-0.816377559664426,-0.7086592009957118
39,-0.8140574719209207,-0.6965275557369259
40,-0.836286888341306,-0.7152785586340469
41,-0.81937591503245,-0.7150878786086623
42,-0.8336269320335823,-0.7021545669044891
43,-0.8183558750594525,-0.7030289082301472
44,-0.8305480507544004,-0.7068103325217321
45,-0.8258998696735373,-0.7060960833527611
46,-0.8213819507511421,-0.6965757450137996
47,-0.8293044101538145,-0.72197628313336
48,-0.8231599015222144,-0.6984907246726498
49,-0.8237855660689523,-0.7135672068218366
50,-0.8173930209675648,-0.7094485095315742
51,-0.8209703385140719,-0.7078357409853272
52,-0.839532186433701,-0.7142910450252035
53,-0.8227974716391371,-0.7105048262164204
54,-0.8226046425007066,-0.7018275750853556
55,-0.811995169408099,-0.7053813981503793
56,-0.8311997923507031,-0.7149811674353298
57,-0.8235826048012731,-0.6860528426186732
58,-0.8333437039552601,-0.7011080953657761
59,-0.8332732823220758,-0.7197643478098066
60,-0.8126812295519207,-0.7007063905756581
61,-0.8311829025588663,-0.7095152999135509
62,-0.8411145194777456,-0.7159765782364932
63,-0.8275749776167984,-0.6990304979860729
64,-0.7985979437938185,-0.6957909619353544
65,-0.810785276175278,-0.7094423430254576
66,-0.8331490835570857,-0.7142338308768477
67,-0.8281980560846497,-0.7246390738761019
68,-0.8048406544494524,-0.7019579771313902
69,-0.8124751828361058,-0.6932335233250686
70,-0.8303471923043124,-0.7095275042968848
71,-0.8052633319439707,-0.6945517591852323
72,-0.8185323179087659,-0.7005024292811538
73,-0.7978776263481439,-0.6945367216859534
74,-0.8448569136231091,-0.7171103259740772
75,-0.8284454381110864,-0.7082144732385125
76,-0.8177729062791178,-0.6976137296533229
77,-0.8238599664527129,-0.7109428622959852
78,-0.8137195637317662,-0.7100946476224232
79,-0.8240997605362927,-0.6951930260694219
80,-0.8318539412339858,-0.710140118964812
81,-0.8446621164997643,-0.7138016149074933
82,-0.815533220178932,-0.7141375419606046
83,-0.8083412082844481,-0.7006997113466692
84,-0.8323647947164377,-0.7100050634791252
85,-0.821107749313331,-0.7114714820685071
86,-0.8285409576396712,-0.7103623225198669
87,-0.8432704957353397,-0.7249863850378958
88,-0.8284702007308343,-0.7074178320253723
89,-0.8251553273934779,-0.7006999420617185
90,-0.8252623737897364,-0.7031115309893654
91,-0.8170246220408368,-0.7069566051424713
92,-0.7993087771222269,-0.7013960255123325
93,-0.8112927669343902,-0.7123344145354589
94,-0.836408492529306,-0.7135153512063243
95,-0.8242318664118375,-0.7158842253653338
96,-0.8232552967829612,-0.7044021277776334
