,mock hard classifier
0,4.325495721866331
1,4.242522618107174
2,4.2943173491430695
3,4.225796673628947
4,2.744598218413835
5,4.6286789693495445
6,4.497455508694134
7,2.9870728577539185
8,4.315673954156705
9,4.357846376213097
10,4.351452590532299
11,4.172976727494431
12,4.663554803385103
13,4.3635229236738216
14,4.219341336670174
15,4.484346306313426
16,2.9545351949182663
17,4.130249948822422
18,4.337328475860947
19,4.509122403703612
20,4.6232541882101685
21,4.658781385141679
22,4.118192145715898
23,4.477164838098374
24,4.131852678430888
25,4.219474820644988
26,4.387998220530082
27,4.222589671643987
28,4.372363587802306
29,4.528704766554641
30,4.898218948210893
31,4.069606714100541
32,2.8667296786389405
33,4.09519105329829
34,4.336397685906649
35,4.67351086128178
36,4.5734279991844735
37,4.540906718582084
38,4.294274524690982
39,4.2701768636287385
40,4.371179243384727
41,4.07265154801065
42,4.192044109401278
43,4.295287021763979
44,4.358720273189819
45,4.2554885824298125
46,4.389631355038391
47,2.9477842665750655
48,4.605646332923816
49,4.25694139397019
50,4.559159517584988
51,4.379702107810011
52,4.4687127489024
53,4.2280734348795095
54,4.507707425063913
55,4.396645081441859
56,4.34882271227711
57,4.015293917518109
58,4.282593441311464
59,4.198235633657284
60,4.038994835928926
61,4.27855098451535
62,4.237785482047245
63,4.556099666891477
64,4.467298871133994
65,4.513438614646723
66,4.369787259981704
67,4.289372736199244
68,4.308098177714132
69,4.273535394499873
70,4.427059141236822
71,4.073312213707781
72,4.180791486596333
73,4.108919400932561
74,6.122231653677003
75,4.035067698362341
76,4.227630803497043
77,4.380774043650932
78,4.641040174548213
79,4.590246705147845
80,4.286356394612908
81,4.2548446546602285
82,4.389947021293634
83,4.2246973636105105
84,4.724598621874604
85,4.376742571111019
86,4.41905297512204
87,4.076221816938904
88,4.458386657284091
89,4.246225404009258
90,4.416069054274242
91,4.533001725762225
92,4.377125736520885
93,4.450951172814469
94,2.9781162206121587
95,2.8441533204864635
96,4.490682562528331
97,4.573637129281352
98,4.247406277391773
99,4.619822553134302
100,4.609724735398711
101,4.4728490935429495
102,4.288863224628469
103,4.537405648489787
104,4.234891129140641
105,4.338478385255701
106,3.6976439790574287
107,4.212835241628281
108,4.764859889058932
109,4.143828683317486
110,4.403168398369845
111,4.388318401797711
112,4.422173690650517
113,4.220655821164938
114,4.0253872783567894
115,4.592814852488869
116,4.52886035054074
117,4.304021794034465
118,4.258580511825551
119,4.368246709792539
120,4.136775248130397
121,4.164655683116166
122,4.62535324481267
123,4.171424216141489
124,4.3480044695368605
125,4.3617821606540925
126,4.564720746183275
127,4.546791480458624
128,2.949639631420497
129,4.273249665890551
130,4.233625587266705
131,4.4220609718776425
132,4.422968876032602
133,4.712390551263342
134,2.900119817876838
135,4.02541259118446
136,4.177346618260256
137,4.254095426593834
138,4.5174703889144885
139,4.091981245747745
140,4.585909989522496
141,4.167560296541128
142,4.347373970600179
143,4.455778611839171
144,2.904162998364986
145,4.0297907399845645
146,2.968579533056953
147,4.252465348744113
148,4.2704680883347015
149,4.261773871893736
150,4.5931937532065605
151,4.110341551510914
152,2.904903417533435
153,4.30066374049888
154,4.095418095789458
155,4.354534311973344
156,4.296011037061949
157,4.541042465905215
158,4.276514972104799
159,4.111195022159381
160,4.233450195420566
161,4.305644495484033
162,4.519772877316539
163,4.806395722231645
164,4.256734828685495
165,4.639488509344543
166,2.9774658293313623
167,4.30838273117012
168,4.1288465426163174
169,4.761048585782602
170,4.435500427332859
171,4.168847174819856
172,4.290314018498733
173,4.310528354397686
174,4.3827407933203375
175,2.865469625848797
176,4.241650186812894
177,3.1609454136186437
178,2.980811513092138
179,4.410434569022312
180,2.9334348488144495
181,4.522955051085256
182,4.025862154616529
183,4.736814784053154
184,4.542164964455341
185,4.349297594124033
186,2.8862568241158346
187,2.9274189561118704
188,2.9561369757599048
189,4.226564539994766
190,2.9941434846266577
191,2.891175444715731
192,4.636478711162253
193,4.506712707912114
194,4.3291432031386226
195,4.353799488535464
196,4.252389855219858
197,4.298433592863973
198,4.130941032079523
199,4.405310198221291
200,2.905016787504267
201,4.77386797985684
202,4.8513976104133585
203,4.594774670208255
204,4.106688205537452
205,2.9491646050089857
206,4.226396592702031
207,4.301451361025732
208,4.608024731134282
209,2.9636871508379974
210,4.246049665136083
211,2.8380130634626166
212,4.549137734467817
213,4.174861601196822
214,4.406407497660556
215,4.111990706879492
216,4.535762343442708
217,2.8518173345759616
218,4.1132920807259685
219,4.021404765645648
220,4.678067345928692
221,4.411575043807821
222,4.176072296215862
223,2.9974747883516564
224,4.253986305958238
225,4.358714318586445
226,4.304955726167919
227,4.770581907708141
228,4.567700384146683
229,4.65000518299365
230,4.321826063089285
231,4.402526237002322
232,4.60882053855601
233,4.1933647101756355
234,4.518310996175656
235,4.468582906140832
236,4.744110065109903
