,calibrated hard classifier,h_infinity: ideal classifier
0,-0.8220344766017446,-0.7047591177585872
1,-0.820675902735769,-0.7006866735933667
2,-0.7998731325280113,-0.6968756104839025
3,-0.8148620830205099,-0.7006668928696633
4,-0.8186178638585784,-0.7069972565709658
5,-0.8135199575775707,-0.7049083262280856
6,-0.8382121411150563,-0.7172377921713442
7,-0.8290961823785304,-0.7048851865702555
8,-0.8238585459297434,-0.7257591561033178
9,-0.8224054155813938,-0.6979051213195465
10,-0.8131445020619827,-0.7045438241475714
11,-0.8250727027981949,-0.7043262610841259
12,-0.8153044570701514,-0.7070608420444034
13,-0.8144014672213531,-0.7024009742023791
14,-0.8281034632528916,-0.70338300085434
15,-0.815331141648851,-0.6905185176228589
16,-0.8125453559336095,-0.703967566313046
17,-0.8301298918625519,-0.717187859112957
18,-0.813657067383821,-0.7044267161138373
19,-0.8387943514256271,-0.7129212611012987
20,-0.8380624030858652,-0.710903300848571
21,-0.8035217670768778,-0.6979656301612148
22,-0.8165177130263122,-0.7030871481187753
23,-0.8295113577819165,-0.7034823917990414
24,-0.8120500778131777,-0.7053531565708318
25,-0.8308447736853074,-0.7049069286952111
26,-0.8176546905989932,-0.6948843533475614
27,-0.8175488642827242,-0.697671508111853
28,-0.828948862201158,-0.713520273853017
29,-0.8174926232731355,-0.7081694633262149
30,-0.8133131321505674,-0.6886242800399086
31,-0.8122871090927001,-0.7103407344204914
32,-0.8196279762787736,-0.7015785397850063
33,-0.8290575113886686,-0.7108529576528586
34,-0.8249350733812711,-0.7082057556242661
35,-0.8130232407594858,-0.6975717322792476
36,-0.8043150280339688,-0.6946038715591397
37,-0.8301615203047717,-0.7164964551453478
38,-0.8365681581112948,-0.7135415676431845
39,-0.8259648020479815,-0.7026402280980066
40,-0.8192527757302285,-0.7099489262165479
41,-0.811161904856635,-0.6949098774920138
42,-0.8280162139617897,-0.7135136334681556
43,-0.8243045291716656,-0.7029664378399512
44,-0.8097868728910387,-0.6934816867058505
45,-0.8074592830564011,-0.7013625792782623
46,-0.8270343051265561,-0.6996662520172883
47,-0.8305980879947136,-0.720981641960731
48,-0.821113397122543,-0.694613922023634
49,-0.8233813231570692,-0.6946743027357993
50,-0.8340943696959758,-0.711107531202855
51,-0.809651245741672,-0.691870572156345
52,-0.8289668211323539,-0.7030214085792321
53,-0.8221629808948598,-0.7131652069285777
54,-0.8258323512201974,-0.7070181012324127
55,-0.8181072128858371,-0.7027917568133102
56,-0.8260292748789396,-0.7105368496681814
57,-0.8105430278904965,-0.6979781678451438
58,-0.836136189332635,-0.7109387599239275
59,-0.8375131796065599,-0.7217097105183821
60,-0.8095127335871464,-0.697644843340196
61,-0.8361543047475765,-0.7139441569487694
62,-0.817655713712387,-0.7127780782076395
63,-0.8187321972046853,-0.7028678671699027
64,-0.8140209638158282,-0.6972172165696786
65,-0.8147637042713054,-0.6962046149970612
66,-0.8196012735253863,-0.7112233058869359
67,-0.8221097778977962,-0.7092514322850163
68,-0.8244034457062328,-0.7013849109628199
69,-0.8125581245323428,-0.6905433881141607
70,-0.8110876008894365,-0.7021257352659438
71,-0.8154641666113749,-0.7088156268137513
72,-0.8479041245675715,-0.7315378754084602
73,-0.8220925431537214,-0.6982337794367997
74,-0.8079341586092765,-0.7022256261327411
75,-0.8032080998300628,-0.6910425099990811
76,-0.8175442835461301,-0.7036644315463139
77,-0.824553147386046,-0.7036275621373059
78,-0.8344655454679806,-0.7180633033677533
79,-0.8196462159615546,-0.6876479966614282
80,-0.8267894631530395,-0.7044599575289363
81,-0.8373156818130767,-0.7176716360940869
82,-0.8300477868779478,-0.7140438944366447
83,-0.821806612338524,-0.6973201971635562
84,-0.8267887228579658,-0.7096727131271409
85,-0.8202643708073069,-0.7087448751372714
86,-0.8170706002219668,-0.7015600406187856
87,-0.8170926964542196,-0.6971318888240179
88,-0.821878950387543,-0.7095484900358691
89,-0.8223987083094032,-0.7138341259799734
90,-0.8117562419541621,-0.7047111208520328
91,-0.8194000777329116,-0.7099755655915155
92,-0.8280394317907346,-0.711333913966689
93,-0.835417635295429,-0.7061731426128963
94,-0.8251875117957457,-0.6961235944424156
95,-0.8207383732991694,-0.7020924040660734
96,-0.8304641641866335,-0.7041431443038006
97,-0.8130702763366566,-0.6940013972877469
98,-0.8166112903545233,-0.6972748156059398
99,-0.7999913663828204,-0.6936476633608313
100,-0.8139278536409613,-0.696414768194371
101,-0.8281510826413919,-0.7066725589542862
102,-0.8211230858162578,-0.7085970257086492
103,-0.8089031842545277,-0.6844588038064218
104,-0.8108300342764181,-0.6937918081060838
105,-0.8309068028799059,-0.7107487720436916
106,-0.824009509582039,-0.7053379396492776
107,-0.8360704964216875,-0.7033636686126934
108,-0.8379804748264309,-0.7089670788395945
109,-0.8301789939079368,-0.7099094031138716
110,-0.8089913162832316,-0.70182257524979
111,-0.8203181576157,-0.7004419458361674
112,-0.807523872545346,-0.7033570665725631
113,-0.8092020058695601,-0.7015026599961962
114,-0.8271595633543187,-0.7053635919232313
115,-0.8168472202787782,-0.71168071240561
116,-0.8242555437842679,-0.7151148384834448
117,-0.8266111604786959,-0.7220722900417719
118,-0.8101423587097709,-0.7057497594392416
119,-0.8194538569314516,-0.6946676364548534
120,-0.8221063369325832,-0.7158749435881739
121,-0.8136872732363407,-0.6963416059879166
122,-0.8383522162350756,-0.7180661363364308
123,-0.8169299873165838,-0.6977016727479143
124,-0.8086754967164783,-0.6951919875283595
125,-0.8324516228801576,-0.7180251132626007
126,-0.8031069345589946,-0.7004003969441551
127,-0.8138090562162466,-0.7058063710799529
128,-0.8217510879062047,-0.7055495156288814
129,-0.8304048356621727,-0.7109908592025321
130,-0.8168756627228297,-0.7067132747708719
131,-0.8351683550278478,-0.6935553486871342
132,-0.828759227558999,-0.7042084607579757
133,-0.8158270999971731,-0.7028004098921975
134,-0.8205624521272641,-0.6994812382237937
135,-0.8388816810253378,-0.7114263956140152
136,-0.8204143113462091,-0.6961634891904176
137,-0.8358768027203445,-0.7079719629942967
138,-0.8355335679564064,-0.7227748090582831
139,-0.8145914629237041,-0.6974184728777401
140,-0.8349376678933872,-0.7125036212011241
141,-0.8207540269030627,-0.7023865007187461
142,-0.8172576927444679,-0.7053532078636049
143,-0.8395022613327615,-0.7103287476568969
144,-0.8160724196888672,-0.7116519450078881
145,-0.8155217135526778,-0.7102618292926846
146,-0.8318147688081343,-0.7220709693456266
147,-0.810702553096697,-0.6994633163157965
148,-0.838947257278298,-0.7017564257201883
149,-0.8138163976901627,-0.7169948719370778
150,-0.8154263343998858,-0.6972995319243859
151,-0.8451542106887573,-0.7198025892077242
152,-0.8168912541928041,-0.7005971538381532
153,-0.8240177777527876,-0.7000038714118725
154,-0.807723655424707,-0.6940552272525553
155,-0.8273833225323873,-0.7195821163388728
156,-0.8113282777106188,-0.6978808664311992
157,-0.8179958008942693,-0.7116625215851006
158,-0.8130796039701765,-0.7016238186098089
159,-0.8185495708275254,-0.7113579894327611
160,-0.8314168721080535,-0.7002404971577872
161,-0.8450338760830928,-0.707762886682773
162,-0.8286570125017472,-0.7136621496452387
163,-0.8096455636498121,-0.6981549256017671
164,-0.8190008932758059,-0.7139691683703493
165,-0.828385633935177,-0.7012549834421954
166,-0.8331867390433997,-0.7038291902379625
167,-0.8097048300403538,-0.6953717322792474
168,-0.801321923065592,-0.6991779754748257
169,-0.8222212863059258,-0.6971894234721956
170,-0.8368777117748586,-0.7000721104722295
171,-0.8164009800030776,-0.7039863466931576
172,-0.8050932534811397,-0.6945940387143851
173,-0.8189831005049433,-0.6980973013160849
174,-0.8179615960497506,-0.7007431573991112
175,-0.8186739099683077,-0.700267905514633
176,-0.8282139506143625,-0.711019946952808
177,-0.8161647511525489,-0.6932680211954905
178,-0.8296087154844611,-0.7051770396665841
179,-0.8213731266203371,-0.7019018007301494
180,-0.8284467182582548,-0.7112012945549322
181,-0.820683809846324,-0.6986184345330098
182,-0.8217115180707875,-0.7044744821580754
183,-0.85016904893895,-0.7110514706297464
184,-0.8216233678673941,-0.710063213582982
185,-0.8182641959723821,-0.7050480865934662
186,-0.8191137676828338,-0.7056603291742632
187,-0.8166206801219626,-0.6919734760607607
188,-0.8312570459088438,-0.705932029754295
189,-0.8294825906270507,-0.7157990893433194
190,-0.8270871652381151,-0.7106166524067644
191,-0.8189190250835555,-0.7123728476570308
192,-0.8323746000681318,-0.6977140436054816
193,-0.8018582097190959,-0.6900134093007627
194,-0.8211140152165154,-0.7017360678855278
195,-0.815071970177845,-0.7049067877649338
196,-0.8121603424235125,-0.6945293249151212
197,-0.8347002573789835,-0.7175096207336112
198,-0.7982087126740521,-0.6980119475270719
199,-0.8302319601126461,-0.7205592073960913
200,-0.8139275889973294,-0.7064793281153137
201,-0.7996986521204967,-0.7065588870435379
202,-0.8187082209059758,-0.6954558166648889
203,-0.812110305183195,-0.7011706170487308
204,-0.8272992152802257,-0.7264990061062027
205,-0.8315182580635214,-0.7067005190253995
206,-0.8141566530991134,-0.6970631622902081
207,-0.8198310597475558,-0.7181661943241276
208,-0.8387814403843663,-0.7121863850378887
209,-0.8200762991306416,-0.7010188446703353
210,-0.8282696154224751,-0.7196350871849012
211,-0.8233999162901899,-0.7022322157242259
212,-0.8231900109581674,-0.6868580602212316
213,-0.7999734095183599,-0.7032127425523022
214,-0.8191091010945145,-0.7077046982341788
215,-0.8330906999041418,-0.7209192995527786
216,-0.8150337587314727,-0.71444352264405
217,-0.8245060057157254,-0.7137636302679617
218,-0.8407026522736272,-0.710286314748815
219,-0.8250471817086831,-0.6983459390750151
220,-0.8344027759783073,-0.7108703414412944
221,-0.8271109026777348,-0.7003070184799836
222,-0.8413456661556911,-0.7251403365845427
223,-0.8156024762561902,-0.6940873788338255
224,-0.8303163041571631,-0.7112982756163234
225,-0.8092573459668566,-0.6880277929996244
226,-0.8314557637823154,-0.7086287027645102
227,-0.8201372870371573,-0.6992466377678183
228,-0.8347638474723391,-0.7063086978734128
229,-0.8249761258735735,-0.7279558102645003
230,-0.8208808480963175,-0.7004639188234405
231,-0.8090489596410959,-0.703475225743265
232,-0.8344471290600304,-0.7273622199343118
233,-0.8213227025352848,-0.7103836033619843
234,-0.8318710795614939,-0.695781885476556
235,-0.8183459475066455,-0.7029309912132403
236,-0.8164083053690392,-0.7087158640764566
237,-0.8380966518896145,-0.7093701041785898
238,-0.8345274964207068,-0.7151301963352765
239,-0.82085606730188,-0.6940859431034877
240,-0.8213621738874061,-0.7118715464565837
241,-0.8049503373151895,-0.6871796037227504
242,-0.8054731226847384,-0.687264303564079
243,-0.8253845339377845,-0.7149876413459493
244,-0.8060384153521969,-0.6866494454870756
245,-0.8261365580675522,-0.7087001727767612
246,-0.8230766749409139,-0.6984359333556385
247,-0.8365620346506327,-0.7305365676603579
248,-0.8399162829235479,-0.709162809846043
249,-0.8393565641880661,-0.6991636815607365
250,-0.8177423812588961,-0.692193756559294
251,-0.8244483805325485,-0.712379744653027
252,-0.8468494565559427,-0.7198035764560056
253,-0.8169740833645285,-0.6877327733394852
254,-0.8300697866936387,-0.7153103643188004
255,-0.8233517151570966,-0.7115445287413651
256,-0.816879085513353,-0.6993378500117735
257,-0.8211926428865292,-0.7007272352370977
258,-0.8194474925449651,-0.6934652134762334
259,-0.834251651708794,-0.7160759945778739
260,-0.8241751421409482,-0.7144715333612731
261,-0.821720282134403,-0.706269264555509
262,-0.8059132374330428,-0.6909172360653761
263,-0.8300411438066122,-0.7129479902610392
264,-0.8342099650145671,-0.7199475670284031
265,-0.8205253001436661,-0.7027978459833001
266,-0.8280346925036604,-0.7117182485630776
267,-0.8149943474465369,-0.7125125565823708
268,-0.8393017821175566,-0.7046478042911084
269,-0.8197269989064899,-0.7208515733625604
270,-0.8145673022899738,-0.7165220046864886
271,-0.8158956157793616,-0.6956263058292447
272,-0.8344957694951891,-0.7137093387257875
273,-0.8183792535056092,-0.6981208893087049
