,calibrated hard classifier,h_infinity: ideal classifier
0,-0.8220344766017446,-0.7047591177585872
1,-0.8149153642594473,-0.6907235046576436
2,-0.8310351046633094,-0.6998213189417279
3,-0.8229929908828636,-0.7030587010736071
4,-0.8165964133950828,-0.7160148320830565
5,-0.8193797994331946,-0.71367071323389
6,-0.8086151708631648,-0.6941899876351084
7,-0.8147847410407871,-0.7026456634675802
8,-0.8245548067681006,-0.712881930368942
9,-0.8303182903167675,-0.7121482339241307
10,-0.8270254713191691,-0.712098531728061
11,-0.817058606200951,-0.7047487721909594
12,-0.8211459244103203,-0.6994970575057261
13,-0.8242108897095367,-0.71109141681779
14,-0.8138116144438579,-0.703984962402861
15,-0.8225333381299158,-0.7061955257374949
16,-0.8292503062444551,-0.6934175116728115
17,-0.8251430804721492,-0.7074107556070925
18,-0.8158793601894503,-0.7096606113293542
19,-0.8241633506296443,-0.7157274913488338
20,-0.8278606074389808,-0.7081234533648687
21,-0.8242167924857977,-0.711045983967401
22,-0.824646999922724,-0.7255620788567667
23,-0.8234894688418594,-0.6929292995184327
24,-0.8038725317832242,-0.709897852530955
25,-0.8167183165093578,-0.7056895196573543
26,-0.8244827878867801,-0.7080606113293528
27,-0.8215330911286044,-0.7034925834883486
28,-0.8281254211760878,-0.7196079478878353
29,-0.8070304724246341,-0.6927791422926511
30,-0.7972063830965737,-0.6871213254893839
31,-0.8111251502826071,-0.6971658225315325
32,-0.8446690444561501,-0.7196904425175511
33,-0.8151024770233726,-0.7028705338116137
34,-0.8285571874450358,-0.7124259081405638
35,-0.83304287800593,-0.7146229340943419
36,-0.8183991086112146,-0.7024637647978524
37,-0.8211762287461362,-0.7055985510764916
38,-0.8301915075396262,-0.7099762960813955
39,-0.8335617189075457,-0.7161707450309648
40,-0.8347142258162797,-0.7099541821638443
41,-0.8131244605546204,-0.7044653545537789
42,-0.8161019013542667,-0.69187020036375
43,-0.8292082124640701,-0.7096530603856722
44,-0.8215080553671228,-0.7035435673891682
45,-0.8234120849696408,-0.7122370356381117
46,-0.8339959288128537,-0.707098865028658
47,-0.8276992566903912,-0.7102876095488737
48,-0.8266087587348313,-0.7097861543228394
49,-0.834504798202436,-0.7091844878774515
50,-0.8287667211520295,-0.7041290173633415
51,-0.8294567160871982,-0.6945543230941217
52,-0.815950179232207,-0.7093377472789584
53,-0.8216121944500616,-0.7005543615861215
54,-0.8096073522034397,-0.6984217420270966
55,-0.8163373717350323,-0.7041565153576919
56,-0.8338083788135974,-0.7122305876235691
57,-0.8295016872628921,-0.7044277286115393
58,-0.826075190926155,-0.7123888593092811
59,-0.8269827594448117,-0.71188946836458
60,-0.8187643634322676,-0.7084855200181185
61,-0.8166531033833243,-0.7004497145468557
62,-0.8254114937249508,-0.7145038520634407
63,-0.8278244422193983,-0.6913651815318906
64,-0.8452392970950827,-0.7076603676662614
65,-0.8335380415351098,-0.7113122360825483
66,-0.836113111879482,-0.7153221970568074
67,-0.8218483632334065,-0.7121884876639546
68,-0.8234453727939162,-0.6938461248976793
69,-0.8085509990252145,-0.7071879747938135
70,-0.8281874922631813,-0.704602794526086
71,-0.8312738756334955,-0.7056235495500285
72,-0.8107443716686149,-0.6991265560399914
73,-0.8161412505052837,-0.6867891927571458
74,-0.8154421046617658,-0.7122485732729857
75,-0.8418470859114731,-0.7115962432793322
76,-0.8291467028801455,-0.7076470608531864
77,-0.8294489857018142,-0.7099094414586027
78,-0.824264492182906,-0.7162898914499479
79,-0.8132886523491389,-0.7016711233712154
80,-0.824253884402213,-0.7107995637214615
81,-0.829057970932158,-0.7044102297889099
82,-0.8046166927616671,-0.6903948848851209
83,-0.8314682753472706,-0.6873644893867424
84,-0.8297204243355676,-0.7109671684770987
85,-0.8099358342757768,-0.7040139090755916
86,-0.8245105501029399,-0.7045181076328002
87,-0.8317111932951015,-0.7195789627231073
88,-0.8336357764058026,-0.7138930832631778
89,-0.8383576594678452,-0.699071405379038
90,-0.8206019598287637,-0.7071836548020252
91,-0.821234409889364,-0.7070131908870911
92,-0.8502281588457455,-0.7366140754025565
93,-0.8210821479152057,-0.692051342647513
94,-0.8001696711239003,-0.6911626943124555
95,-0.8239539230158007,-0.6978217803718267
96,-0.8313918342798375,-0.7018571757057647
