,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,a,n,a,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,
5,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,n,a,n,n,n,n,a,a,n,n,n,n,a,n,n,a,n,a,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,
8,n,n,n,n,n,n,n,a,n,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,
10,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,
11,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,
13,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,
