,0_uncalibrated,0_calibrated
0,19,19
1,19,19
2,19,19
3,19,19
4,19,19
5,19,19
6,19,19
7,19,19
8,19,19
9,19,19
10,19,19
11,19,19
12,19,19
13,19,19
14,19,19
15,19,19
16,19,19
17,19,19
18,19,19
19,19,19
20,19,19
21,19,19
22,19,19
23,19,19
24,19,19
25,19,19
26,19,19
27,19,19
28,19,19
29,19,19
30,19,19
31,19,19
32,19,19
33,19,19
34,19,19
35,19,19
36,19,19
37,19,19
38,19,19
39,19,19
40,19,19
41,19,19
42,19,19
43,19,19
44,19,19
45,19,19
46,19,19
47,19,19
48,19,19
49,19,19
50,19,19
51,19,19
52,19,19
53,19,19
54,19,19
55,19,19
56,19,19
57,19,19
58,19,19
59,19,19
60,19,19
61,19,19
62,19,19
63,19,19
64,19,19
65,19,19
66,19,19
67,19,19
68,19,19
69,19,19
70,19,19
71,19,19
72,19,19
73,19,19
74,19,19
75,19,19
76,19,19
77,19,19
78,19,19
79,19,19
80,19,19
81,19,19
82,19,19
83,19,19
84,19,19
85,19,19
86,19,19
87,19,19
88,19,19
89,19,19
90,19,19
91,19,19
92,19,19
93,19,19
94,19,19
95,19,19
96,19,19
97,19,19
98,19,19
99,19,19
100,19,19
101,19,19
102,19,19
103,19,19
104,19,19
105,19,19
106,19,19
107,19,19
108,19,19
109,19,19
110,19,19
111,19,19
112,19,19
113,19,19
114,19,19
115,19,19
116,19,19
117,19,19
118,19,19
119,19,19
120,19,19
121,19,19
122,19,19
123,19,19
124,19,19
125,19,19
126,19,19
127,19,19
128,19,19
129,19,19
130,19,19
131,19,19
132,19,19
133,19,19
134,19,19
135,19,19
136,19,19
137,19,19
138,19,19
139,19,19
140,19,19
141,19,19
142,19,19
143,19,19
144,19,19
145,19,19
146,19,19
147,19,19
148,19,19
149,19,19
150,19,19
151,19,19
152,19,19
153,19,19
154,19,19
155,19,19
156,19,19
157,19,19
158,19,19
159,19,19
160,19,19
161,19,19
162,19,19
163,19,19
164,19,19
165,19,19
166,19,19
167,19,19
168,19,19
169,19,19
170,19,19
171,19,19
172,19,19
173,19,19
174,19,19
175,19,19
176,19,19
177,19,19
178,19,19
179,19,19
180,19,19
181,19,19
182,19,19
183,19,19
184,19,19
185,19,19
186,19,19
187,19,19
188,19,19
189,19,19
190,19,19
191,19,19
192,19,19
193,19,19
194,19,19
195,19,19
196,19,19
197,19,19
198,19,19
199,19,19
200,19,19
201,19,19
202,19,19
203,19,19
204,19,19
205,19,19
206,19,19
207,19,19
208,19,19
209,19,19
210,19,19
211,19,19
212,19,19
213,19,19
214,19,19
215,19,19
216,19,19
217,19,19
218,19,19
219,19,19
220,19,19
221,19,19
222,19,19
223,19,19
224,19,19
225,19,19
226,19,19
227,19,19
228,19,19
229,19,19
230,19,19
231,19,19
232,19,19
233,19,19
234,19,19
235,19,19
236,19,19
237,19,19
238,19,19
239,19,19
240,19,19
241,19,19
242,19,19
243,19,19
244,19,19
245,19,19
246,19,19
247,19,19
248,19,19
249,19,19
250,19,19
251,19,19
252,19,19
253,19,19
254,19,19
255,19,19
256,19,19
257,19,19
258,19,19
259,19,19
260,19,19
261,19,19
262,19,19
263,19,19
264,19,19
265,19,19
266,19,19
267,19,19
268,19,19
269,19,19
270,19,19
271,19,19
272,19,19
273,19,19
274,19,19
