,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p
1,n,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p
2,p,n,n,p,n,n,n,p,n,n,p,p,n,p,p,n,n,n,p,p,n,p,p,p,p,n,p,p,p,p
3,p,p,n,n,p,n,n,p,n,p,n,n,p,p,p,n,p,n,p,n,n,n,n,p,n,p,n,p,p,p
4,p,p,n,p,p,p,n,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p
5,n,n,n,p,n,n,n,p,p,n,p,p,n,n,n,p,n,n,n,n,n,n,n,p,p,n,n,p,p,n
6,p,p,n,p,n,p,p,n,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p
7,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
8,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
9,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p
10,n,n,n,p,n,n,n,n,n,n,n,n,n,p,p,p,n,n,n,n,p,n,n,p,p,p,n,n,n,n
11,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n
12,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,n,n,p,p,p
13,p,n,p,p,p,p,n,p,p,p,p,n,p,p,n,p,n,p,p,p,p,p,p,n,n,p,p,p,p,p
14,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
15,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
16,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p
17,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n
18,p,p,p,n,p,p,n,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p
19,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,n,p,n,p,n,n,p,p,p
20,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p
21,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
22,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,n,p
23,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p
24,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
25,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,n,p,p,n,p,n,p,p
