,calibrated hard classifier,h_infinity: ideal classifier
0,-0.8162027237398347,-0.7262875589027735
1,-0.8295354583484678,-0.7258880970223341
2,-0.8463610134517247,-0.7377316969531031
3,-0.8534214936054063,-0.7784690851332408
4,-0.7914331613518542,-0.7597577209620597
5,-0.8654347549634064,-0.7541432089864278
6,-0.7892342111644004,-0.69245049697618
7,-0.8747310596460768,-0.7150380230912623
8,-0.8033387593981064,-0.7268434208524442
9,-0.8604655616854306,-0.7772865970511805
10,-0.8402544859055096,-0.729213011317554
